name,ra,dec,z,+/-
NGC 0001,1.8159999999999998,27.70808333,0.0151770003,1.99999999e-06
NGC 0002,1.821291667,27.67836111,0.025174000000000002,7.000000000000001e-06
NGC 0003,1.82,8.301638889,0.0130089996,0.00016300000400000002
NGC 0004,1.8517083330000002,8.373777778,,
NGC 0005,1.953632948,35.36230443,0.0170479994,0.000136999995
NGC 0006,2.38625,33.30866667,0.016581000800000002,0.00016300000400000002
NGC 0007,2.087333333,-29.915,0.00498700002,7.0000001e-06
NGC 0009,2.2279166669999997,23.81697222,0.0151040005,3.3000000300000004e-05
NGC 0010,2.143916667,-33.85833333,0.022718999500000003,3.3000000300000004e-05
NGC 0011,2.177083333,37.44791667,0.0146399997,6.70000009e-05
NGC 0012,2.186458333,4.6125277780000005,0.013146000000000001,1.2999999900000001e-05
NGC 0013,2.198833333,33.43333333,0.0160380006,2.9999999199999998e-05
NGC 0014,2.193333333,15.81555556,0.00288500008,3.00000011e-06
NGC 0015,2.260295754,21.62453024,0.0211210009,3.3000000300000004e-05
NGC 0016,2.267875,27.72941667,0.0103399996,5.70000011e-05
NGC 0017,2.7772932010000004,-12.10731371,0.0196170006,7.0000001e-06
NGC 0019,2.670291667,32.98308333,0.015970999399999998,9.99999975e-06
NGC 0006,2.38625,33.30866667,0.016581000800000002,0.00016300000400000002
NGC 0021,2.695416667,33.35283333,0.0159109998,1.2999999900000001e-05
NGC 0022,2.450791667,27.83230556,0.0277260002,3.00000011e-06
NGC 0023,2.4725416669999998,25.92377778,0.0152310003,7.0000001e-06
NGC 0024,2.485583333,-24.96313889,0.0018479999899999999,7.0000001e-06
NGC 0025,2.497,-57.02083333,0.0315719992,0.00010700000000000001
NGC 0026,2.607791667,25.83183333,0.015317000400000001,7.0000001e-06
NGC 0027,2.636541667,28.99625,0.023460000800000002,3.3000000300000004e-05
NGC 0028,2.6051666669999998,-56.98913889,0.032005,0.00013000000000000002
NGC 0021,2.695416667,33.35283333,0.0159109998,1.2999999900000001e-05
NGC 0031,2.659958333,-56.9865,0.0320249982,0.000150000007
NGC 0017,2.7772932010000004,-12.10731371,0.0196170006,7.0000001e-06
NGC 0035,2.7936824010000003,-12.02092559,0.0198940001,0.00010700000000000001
NGC 0036,2.8428964239999996,6.389370528,0.0201140009,1.2999999900000001e-05
NGC 0037,2.845541667,-56.95733333,0.032719,8.3e-05
NGC 0038,2.945791667,-5.5862777779999995,0.026801999700000002,0.000123000005
NGC 0039,3.078583333,31.06108333,0.0162010007,3.70000016e-05
NGC 0041,3.199875,22.02338889,0.019843999299999998,3.3000000300000004e-05
NGC 0042,3.2347737210000003,22.10031684,0.0199500006,0.000117000003
NGC 0043,3.253125,30.91527778,0.015961000700000002,3.3000000300000004e-05
NGC 0045,3.516625,-23.18208333,0.0015579999900000002,9.99999997e-07
NGC 0047,3.6276666669999997,-7.167444444,0.0190130007,9.99999975e-06
NGC 0048,3.509125,48.23486111,0.00592399994,2.7000000000000002e-05
NGC 0049,3.593446083,48.246603799999995,0.0159239992,7.9999998e-05
NGC 0050,3.685708333,-7.345083333,0.0190159995,2.9999999199999998e-05
NGC 0051,3.645482332,48.25568653,0.0178490002,5.99999985e-05
NGC 0052,3.667125,18.58202778,0.0179859996,1.70000003e-05
NGC 0053,3.6785416669999997,-60.32875,0.0152369998,8.700000029999999e-05
NGC 0054,3.781958333,-7.106722222,0.017802000000000002,2.7000000000000002e-05
NGC 0055,3.7233333330000002,-39.19663889,0.000429999985,7.0000001e-06
NGC 0057,3.878617083,17.32851889,0.0181460008,7.300000290000001e-05
NGC 0047,3.6276666669999997,-7.167444444,0.0190130007,9.99999975e-06
NGC 0059,3.854708333,-21.44438889,0.0012069999900000002,3.3000000300000004e-05
NGC 0060,3.9926853330000003,-0.3035147479,0.0394520015,9.100000170000001e-05
NGC 0062,4.272583333,-13.48711111,0.021562000699999997,0.00013000000000000002
NGC 0063,4.439666667,11.45033333,0.00386899989,3.00000011e-06
NGC 0064,4.376541667,-6.824611111,0.024390000800000002,2.9999999199999998e-05
NGC 0065,4.744625,-22.88036111,0.0243270006,0.000159999996
NGC 0066,4.770583333,-22.93638889,0.0253640004,3.3000000300000004e-05
NGC 0067,4.5507916669999995,30.05552778,0.0207339991,7.300000290000001e-05
NGC 0068,4.577041667,30.07175,0.0191300008,7.300000290000001e-05
NGC 0069,4.5854475,30.03996334,0.022284999500000003,7.9999998e-05
NGC 0070,4.593916667,30.07958333,0.0239070002,3.3000000300000004e-05
NGC 0071,4.59825,30.06325,0.0223389994,7.6999997e-05
NGC 0072,4.618208333,30.04069444,0.024212999300000003,3.3000000300000004e-05
NGC 0073,4.662548634,-15.32226059,0.0258910004,3.3000000300000004e-05
NGC 0074,4.705583333,30.06197222,0.0236460008,7.6999997e-05
NGC 0075,4.859691655,6.449347876,0.0193470009,8.700000029999999e-05
NGC 0076,4.907458333,29.93386111,0.0244399998,6.70000009e-05
NGC 0077,5.006862132,-22.5321074,0.06306400150000001,9.69999965e-05
NGC 0079,5.26186433,22.56658099,0.0182959996,7.9999998e-05
NGC 0080,5.295208333,22.35719444,0.019006000800000002,7.300000290000001e-05
NGC 0081,5.305277104,22.38289638,0.0204470009,7.000000190000001e-05
NGC 0083,5.343333333,22.43361111,0.0207710005,8.700000029999999e-05
NGC 0085,5.3563588189999995,22.51177732,0.0206940006,7.9999998e-05
