name,ra,dec,z,+/-
NGC 0001,1.816,27.70808333,0.0151770003,1.99999999e-06
NGC 0002,1.821291667,27.67836111,0.025174,7e-06
NGC 0003,1.82,8.301638889,0.0130089996,0.000163000004
NGC 0004,1.851708333,8.373777778,,
NGC 0005,1.953632948,35.36230443,0.0170479994,0.000136999995
NGC 0006,2.38625,33.30866667,0.0165810008,0.000163000004
NGC 0007,2.087333333,-29.915,0.00498700002,7.0000001e-06
NGC 0009,2.227916667,23.81697222,0.0151040005,3.30000003e-05
NGC 0010,2.143916667,-33.85833333,0.0227189995,3.30000003e-05
NGC 0011,2.177083333,37.44791667,0.0146399997,6.70000009e-05
NGC 0012,2.186458333,4.612527778,0.013146,1.29999999e-05
NGC 0013,2.198833333,33.43333333,0.0160380006,2.99999992e-05
NGC 0014,2.193333333,15.81555556,0.00288500008,3.00000011e-06
NGC 0015,2.260295754,21.62453024,0.0211210009,3.30000003e-05
NGC 0016,2.267875,27.72941667,0.0103399996,5.70000011e-05
NGC 0017,2.777293201,-12.10731371,0.0196170006,7.0000001e-06
NGC 0019,2.670291667,32.98308333,0.0159709994,9.99999975e-06
NGC 0006,2.38625,33.30866667,0.0165810008,0.000163000004
NGC 0021,2.695416667,33.35283333,0.0159109998,1.29999999e-05
NGC 0022,2.450791667,27.83230556,0.0277260002,3.00000011e-06
NGC 0023,2.472541667,25.92377778,0.0152310003,7.0000001e-06
NGC 0024,2.485583333,-24.96313889,0.00184799999,7.0000001e-06
NGC 0025,2.497,-57.02083333,0.0315719992,0.000107
NGC 0026,2.607791667,25.83183333,0.0153170004,7.0000001e-06
NGC 0027,2.636541667,28.99625,0.0234600008,3.30000003e-05
NGC 0028,2.605166667,-56.98913889,0.032005,0.00013
NGC 0021,2.695416667,33.35283333,0.0159109998,1.29999999e-05
NGC 0031,2.659958333,-56.9865,0.0320249982,0.000150000007
NGC 0017,2.777293201,-12.10731371,0.0196170006,7.0000001e-06
NGC 0035,2.793682401,-12.02092559,0.0198940001,0.000107
NGC 0036,2.842896424,6.389370528,0.0201140009,1.29999999e-05
NGC 0037,2.845541667,-56.95733333,0.032719,8.3e-05
NGC 0038,2.945791667,-5.586277778,0.0268019997,0.000123000005
NGC 0039,3.078583333,31.06108333,0.0162010007,3.70000016e-05
NGC 0041,3.199875,22.02338889,0.0198439993,3.30000003e-05
NGC 0042,3.234773721,22.10031684,0.0199500006,0.000117000003
NGC 0043,3.253125,30.91527778,0.0159610007,3.30000003e-05
NGC 0045,3.516625,-23.18208333,0.00155799999,9.99999997e-07
NGC 0047,3.627666667,-7.167444444,0.0190130007,9.99999975e-06
NGC 0048,3.509125,48.23486111,0.00592399994,2.7e-05
NGC 0049,3.593446083,48.2466038,0.0159239992,7.9999998e-05
NGC 0050,3.685708333,-7.345083333,0.0190159995,2.99999992e-05
NGC 0051,3.645482332,48.25568653,0.0178490002,5.99999985e-05
NGC 0052,3.667125,18.58202778,0.0179859996,1.70000003e-05
NGC 0053,3.678541667,-60.32875,0.0152369998,8.70000003e-05
NGC 0054,3.781958333,-7.106722222,0.017802,2.7e-05
NGC 0055,3.723333333,-39.19663889,0.000429999985,7.0000001e-06
NGC 0057,3.878617083,17.32851889,0.0181460008,7.30000029e-05
NGC 0047,3.627666667,-7.167444444,0.0190130007,9.99999975e-06
NGC 0059,3.854708333,-21.44438889,0.00120699999,3.30000003e-05
NGC 0060,3.992685333,-0.3035147479,0.0394520015,9.10000017e-05
NGC 0062,4.272583333,-13.48711111,0.0215620007,0.00013
NGC 0063,4.439666667,11.45033333,0.00386899989,3.00000011e-06
NGC 0064,4.376541667,-6.824611111,0.0243900008,2.99999992e-05
NGC 0065,4.744625,-22.88036111,0.0243270006,0.000159999996
NGC 0066,4.770583333,-22.93638889,0.0253640004,3.30000003e-05
